**********************************************************************
         STEEEPEST DESCENT ALGORITHM         
**********************************************************************
     Convergence criterion  :   1.00e-08
     Niter_max              :        500
     Initial cost is        :   1.50e+03
     Initial norm_grad is   :   2.15e+05
**********************************************************************
   Niter      fk         ||gk||       fk/f0        alpha        nls      ngrad    
     0     1.50e+03     2.15e+05     1.00e+00     1.00e-02        0        0
     1     9.08e+02     1.66e+05     6.04e-01     5.00e-02        1        2
     2     5.46e+02     1.85e+05     3.63e-01     5.00e-02        0        3
     3     4.13e+02     2.28e+05     2.75e-01     1.25e-02        2        6
     4     3.38e+02     1.95e+05     2.25e-01     1.25e-02        0        7
     5     2.86e+02     1.79e+05     1.90e-01     6.25e-03        1        9
     6     2.64e+02     2.07e+05     1.76e-01     6.25e-03        0       10
     7     2.43e+02     1.40e+05     1.62e-01     3.13e-03        1       12
     8     2.31e+02     1.28e+05     1.54e-01     3.13e-03        0       13
     9     2.20e+02     1.21e+05     1.46e-01     3.13e-03        0       14
    10     2.11e+02     1.15e+05     1.40e-01     3.13e-03        0       15
    11     2.02e+02     1.19e+05     1.35e-01     3.13e-03        0       16
    12     1.95e+02     1.26e+05     1.30e-01     3.13e-03        0       17
    13     1.88e+02     1.56e+05     1.25e-01     3.13e-03        0       18
    14     1.84e+02     1.85e+05     1.22e-01     3.13e-03        0       19
    15     1.77e+02     1.22e+05     1.18e-01     1.56e-03        1       21
    16     1.74e+02     1.08e+05     1.15e-01     1.56e-03        0       22
    17     1.70e+02     1.04e+05     1.13e-01     1.56e-03        0       23
    18     1.67e+02     1.02e+05     1.11e-01     1.56e-03        0       24
    19     1.54e+02     2.04e+05     1.02e-01     7.81e-03        1       26
    20     1.52e+02     1.82e+05     1.01e-01     1.95e-03        2       29
    21     1.51e+02     1.92e+05     1.01e-01     1.95e-03        0       30
    22     1.47e+02     1.80e+05     9.81e-02     1.95e-03        0       31
    23     1.44e+02     1.41e+05     9.55e-02     9.77e-04        1       33
    24     1.42e+02     1.34e+05     9.42e-02     9.77e-04        0       34
    25     1.40e+02     1.40e+05     9.30e-02     9.77e-04        0       35
    26     1.38e+02     1.28e+05     9.18e-02     9.77e-04        0       36
    27     1.36e+02     1.36e+05     9.06e-02     9.77e-04        0       37
    28     1.35e+02     1.25e+05     8.96e-02     9.77e-04        0       38
    29     1.33e+02     1.36e+05     8.85e-02     9.77e-04        0       39
    30     1.31e+02     1.25e+05     8.74e-02     9.77e-04        0       40
    31     1.30e+02     1.40e+05     8.64e-02     9.77e-04        0       41
    32     1.28e+02     1.30e+05     8.55e-02     9.77e-04        0       42
    33     1.27e+02     1.54e+05     8.45e-02     9.77e-04        0       43
    34     1.26e+02     1.50e+05     8.37e-02     9.77e-04        0       44
    35     1.25e+02     1.96e+05     8.29e-02     9.77e-04        0       45
    36     1.24e+02     1.87e+05     8.22e-02     9.77e-04        0       46
    37     1.23e+02     1.92e+05     8.19e-02     9.77e-04        0       47
    38     1.21e+02     1.90e+05     8.07e-02     9.77e-04        0       48
    39     1.21e+02     1.90e+05     8.06e-02     9.77e-04        0       49
    40     1.19e+02     1.85e+05     7.92e-02     9.77e-04        0       50
    41     1.19e+02     1.91e+05     7.92e-02     9.77e-04        0       51
    42     1.17e+02     1.91e+05     7.79e-02     9.77e-04        0       52
    43     1.16e+02     1.40e+05     7.72e-02     4.88e-04        1       54
    44     1.15e+02     1.12e+05     7.67e-02     4.88e-04        0       55
    45     1.15e+02     1.13e+05     7.63e-02     4.88e-04        0       56
    46     1.12e+02     1.22e+05     7.45e-02     2.44e-03        1       58
    47     1.11e+02     2.09e+05     7.39e-02     1.22e-03        1       60
    48     1.10e+02     1.52e+05     7.32e-02     6.10e-04        1       62
